time,pAtm,lon,lat,TDewPoi,HDirNor,HDifHor,HGloHor,relHum,nTot,ceiHei,winSpe,winDir,nOpa,TBlaSky,HHorIR,cloTim,solZen,solAlt,solDec,solTim,solHouAng,TDryBul,TWetBul
14012100.0,101325.0,-1.5344934783534145,0.7326892199872196,282.0547268907563,22.458333333333336,9.409090909090908,12.066532258064516,0.7719270833333333,0.0,2000.0,3.1,0.39269908169872414,0.0,271.3167106474059,307.61830357142856,14012100.0,1.5880679377100144,-0.017271610915117863,0.40230299756024135,14012619.303729873,1015.8848393405837,285.8598684210526,283.7116839455834
14013000.0,101325.0,-1.5344934783534145,0.7326892199872196,282.01848739495796,49.0,16.0,21.0,0.7726388888888889,0.0,2000.0,3.1,0.4363323129985824,0.0,271.27582778530336,307.48214285714283,14013000.0,1.5466205545440825,0.02417577225081402,0.4023168442830937,14013519.178401731,1015.9502800734136,285.8254385964912,283.68663389679
14013900.0,101325.0,-1.5344934783534145,0.7326892199872196,281.99800420168066,108.08244206773618,24.06278409090909,35.48755428039702,0.7720312500000001,0.0,2000.0,3.1,0.4799655442984406,0.0,271.29762228222813,307.6049107142857,14013900.0,1.504112146945218,0.06668417984967845,0.4023306774238943,14014419.053055737,1016.0157208049455,285.8532894736842,283.70658769290264
14014800.0,101325.0,-1.5344934783534145,0.7326892199872196,282.04999999999995,200.56243810655573,33.06136363636364,58.41842431761787,0.77,0.0,2000.0,3.1,0.5235987755982988,0.0,271.4011862333306,308.0,14014800.0,1.4606421402641994,0.1101541865306972,0.4023444969819617,14015318.927691914,1016.0811615351809,285.95,283.77654892126327
14015700.0,101325.0,-1.5344934783534145,0.7326892199872196,282.16282467532466,300.0112150920975,42.029261363636365,89.14008219602978,0.7681250000000001,0.0,2000.0,3.1,0.5672320068981571,0.0,271.56317920527624,308.6138392857143,14015700.0,1.4163040441947525,0.15449228260014403,0.4023583029566151,14016218.802310288,1016.1466022641216,286.09375,283.8915502519931
14016600.0,101325.0,-1.5344934783534145,0.7326892199872196,282.2853896103896,380.0,50.0,127.0,0.7661111111111112,0.0,2000.0,3.1,0.6108652381980153,0.0,271.7788063738016,309.51785714285717,14016600.0,1.3711860627028651,0.19961026409203142,0.40237209534717455,14017118.67691088,1016.2120429917691,286.29166666666663,284.0552006564235
14017500.0,101325.0,-1.5344934783534145,0.7326892199872196,282.4152597402597,440.26889517083725,57.11116071428572,169.1752403846154,0.7610416666666667,0.0,2000.0,3.1,0.6544984694978736,0.0,272.09500224163185,310.91294642857144,14017500.0,1.3253717779545036,0.245424548840393,0.40238587415296045,14018018.551493714,1016.277483718125,286.59375,284.28436034260005
14018400.0,101325.0,-1.5344934783534145,0.7326892199872196,282.54999999999995,497.43452259460344,64.14642857142857,213.08910256410255,0.75,0.0,2000.0,3.1,0.6981317007977318,0.0,272.55872417297405,313.0,14018400.0,1.2789409013641273,0.29185542543076926,0.40239963937329404,14018918.426058814,1016.3429244431915,287.04999999999995,284.5936033006121
14019300.0,101325.0,-1.5344934783534145,0.7326892199872196,282.7204545454545,550.382888721068,71.10848214285714,258.45841346153844,0.73,0.0,2000.0,3.1,0.8555229994150776,0.0,273.19818579195544,315.940625,14019300.0,1.2319700936009363,0.3388262331939602,0.4024133910074971,14019818.300606204,1016.4083651669702,287.6827008928571,284.9664763208072
14020200.0,101325.0,-1.5344934783534145,0.7326892199872196,282.9181818181818,598.0,78.0,305.0,0.7033333333333333,0.0,2000.0,3.1,1.1469306513105593,0.0,273.94383055756396,319.425,14020200.0,1.1845338643803471,0.3862624624145494,0.40242712905489225,14020718.17513591,1016.4738058894627,288.4205357142857,285.3515091504459
