Scenario,test_day,cost_tot,emis_tot,ener_tot,idis_tot,pdih_tot,pele_tot,pgas_tot,tdis_tot,time_rat
constant+Day234,cool_day22,0.137446863,1.665681931,2.516946839,1222.20348,,0.029352915,0.00013365,7.870105392,3.17E-05
constant+Day235,cool_day23,0.138083745,1.673400085,2.528609209,1222.203475,,0.029741248,0.000133607,7.884388053,3.07E-05
constant+Day236,cool_day24,0.13599946,1.648141345,2.490442488,1222.190739,,0.0297411,0.000133497,7.749500736,3.22E-05
constant+Day237,cool_day25,0.136091883,1.649261393,2.492134921,1222.166311,,0.029740837,0.000133373,7.812833074,3.09E-05
constant+Day238,cool_day26,0.140057385,1.697317954,2.564749854,1222.086996,,0.032345555,0.000133315,8.043274257,3.35E-05
constant+Day239,cool_day27,0.143764536,1.742243667,2.632633982,1221.994062,,0.032345322,0.000133299,8.279576264,3.23E-05
constant+Day240,cool_day28,0.149400391,1.810537117,2.735799906,1221.987739,,0.032345172,8.23E-05,8.531228643,3.30E-05
constant+Day241,cool_day29,0.153773357,1.8635286,2.815856704,1221.968817,,0.03234497,4.47E-05,8.717421952,3.20E-05
constant+Day242,cool_day30,0.161924266,1.96230669,2.965113425,1221.997642,,0.0323447,4.47E-05,9.103716021,3.09E-05
constant+Day243,cool_day31,0.166484728,2.017571741,3.048612482,1221.959635,,0.032344463,1.81E-10,9.295611133,3.17E-05
constant+Day166,cool_day32,0.051381953,0.629936851,0.987906269,1222.275577,,0.015079356,0.032639514,3.95182541,4.36E-05
constant+Day167,cool_day33,0.056143969,0.687644437,1.075095928,1222.125058,,0.015079219,0.03264241,4.216962215,4.40E-05
constant+Day168,cool_day34,0.062846369,0.764346493,1.168528044,1221.905898,,0.016266976,0.032657101,4.545960516,4.36E-05
constant+Day169,cool_day35,0.070746174,0.857384836,1.295713697,1222.188946,,0.019010207,0.000640977,4.840545733,4.39E-05
constant+Day170,cool_day36,0.074493092,0.902769043,1.36417429,1222.205306,,0.019010065,0.000121406,5.024744761,4.45E-05
constant+Day171,cool_day37,0.077051465,0.933771894,1.411014548,1222.195877,,0.01900992,0.000121417,5.116310496,4.45E-05
constant+Day172,cool_day38,0.079276257,0.960733396,1.451754246,1222.212281,,0.020408372,0.000121431,5.219027708,4.48E-05
constant+Day173,cool_day39,0.081754046,0.990759961,1.497120737,1222.214046,,0.020408193,0.000121444,5.337442073,4.22E-05
constant+Day174,cool_day40,0.087435816,1.059615389,1.601163388,1222.221455,,0.022506064,0.000121439,5.69961888,4.38E-05
constant+Day175,cool_day41,0.095293759,1.154839371,1.745031019,1222.15817,,0.022543306,0.000121423,6.179386649,4.34E-05
constant+Day176,cool_day42,0.103926879,1.259460101,1.903110656,1222.129202,,0.023067908,0.000121454,6.613930227,4.22E-05
constant+Day177,cool_day43,0.106901551,1.295504698,1.957553091,1222.147108,,0.02306776,2.11E-05,6.720278048,4.34E-05
constant+Day178,cool_day44,0.107045568,1.297250448,1.960193203,1222.127027,,0.0230676,2.39E-05,6.666038044,4.50E-05
constant+Day179,cool_day45,0.104956164,1.271931157,1.921942352,1222.130113,,0.02306744,4.05E-05,6.526427516,4.66E-05
constant+Day180,cool_day46,0.104090123,1.261435994,1.906084317,1222.160276,,0.02306721,4.05E-05,6.455601874,4.60E-05
constant+Day181,cool_day47,0.102556754,1.24285484,1.878013679,1222.181215,,0.02306709,4.05E-05,6.425538687,4.39E-05
constant+Day182,cool_day48,0.102090411,1.237203385,1.869474162,1222.193864,,0.023067035,4.06E-05,6.411334006,4.37E-05
constant+Day183,cool_day49,0.102011813,1.236250882,1.868034904,1222.23755,,0.023066863,4.06E-05,6.436193687,4.20E-05
constant+Day184,cool_day50,0.105592505,1.279644072,1.933603342,1222.253702,,0.023066669,4.06E-05,6.583607417,4.29E-05
constant+Day185,cool_day51,0.104466295,1.265995831,1.912980005,1222.281995,,0.023066399,4.06E-05,6.518826913,4.31E-05
constant+Day186,cool_day52,0.102654103,1.244034495,1.87979576,1222.28775,,0.02306625,4.06E-05,6.437500946,4.28E-05
constant+Day187,cool_day53,0.09980304,1.20948343,1.827588055,1222.297511,,0.023066001,4.06E-05,6.234765522,4.28E-05
constant+Day188,cool_day54,0.096453692,1.168893821,1.766255924,1222.312565,,0.02306568,4.06E-05,6.08506932,4.12E-05
constant+Day189,cool_day55,0.094758612,1.148351733,1.735216212,1222.316869,,0.023065047,4.06E-05,5.973163062,4.38E-05
constant+Day190,cool_day56,0.092823572,1.124901645,1.699782426,1222.419766,,0.022762696,4.07E-05,5.873496446,4.29E-05
constant+Day191,cool_day57,0.093477805,1.132830075,1.711762537,1222.421513,,0.022762516,4.07E-05,5.919351538,4.54E-05
constant+Day192,cool_day58,0.096012928,1.163551491,1.758179186,1222.435476,,0.022762225,4.07E-05,6.089223829,4.35E-05
constant+Day193,cool_day59,0.102677451,1.244315089,1.880208062,1222.414413,,0.022761941,3.11E-05,6.47381557,4.39E-05
constant+Day194,cool_day60,0.109338618,1.325038633,2.002179471,1222.350839,,0.022884474,3.11E-05,6.837857415,4.40E-05
constant+Day195,cool_day61,0.115828268,1.403683352,2.121008389,1222.333651,,0.023363197,2.94E-10,7.14223659,4.52E-05
constant+Day196,cool_day62,0.120539395,1.460775889,2.207276956,1222.329946,,0.02398158,3.40E-10,7.331533261,4.45E-05
constant+Day197,cool_day63,0.122780906,1.487940009,2.24832277,1222.314652,,0.023981386,3.30E-10,7.366171109,4.40E-05
constant+Day198,cool_day64,0.122207771,1.480994379,2.237827712,1222.325422,,0.02398121,3.32E-10,7.318789691,4.29E-05
constant+Day199,cool_day65,0.124430834,1.507934917,2.278535686,1222.328762,,0.023981056,3.23E-10,7.445892238,4.40E-05
constant+Day200,cool_day66,0.128523819,1.557536414,2.353485062,1222.328811,,0.025158697,3.23E-10,7.68097987,4.48E-05
constant+Day201,cool_day67,0.134459498,1.629468879,2.462177212,1222.220062,,0.025840169,3.17E-10,7.9999398,4.38E-05
constant+Day202,cool_day68,0.138927407,1.68361395,2.543992067,1222.198424,,0.02584005,3.14E-10,8.151879952,4.31E-05
constant+Day203,cool_day69,0.140503389,1.702712743,2.572850926,1222.212362,,0.025839923,3.11E-10,8.220527903,4.49E-05
constant+Day204,cool_day70,0.141196248,1.711109262,2.585538324,1222.202407,,0.025839688,3.05E-10,8.248089766,4.45E-05
constant+Day205,cool_day71,0.144551199,1.751766768,2.646973055,1222.193552,,0.025839497,2.98E-10,8.400523781,4.39E-05
