Scenario,test_day,cost_tot,emis_tot,ener_tot,idis_tot,pdih_tot,pele_tot,pgas_tot,tdis_tot,time_rat
constant+Day225,cool_day60,0.112467236,0.407992845,1.196459955,59.73571512,,0.01958444,,3.771498159,0.000184171
constant+Day226,cool_day61,0.119630812,0.43397986,1.272668211,73.91251577,,0.019584526,,3.916184928,0.000189569
constant+Day227,cool_day62,0.126946981,0.460520429,1.350499793,78.2680273,,0.021709529,,4.2703386,0.00018371
constant+Day228,cool_day63,0.127530895,0.462638673,1.356711651,69.63624733,,0.021709751,,4.418014849,0.000190424
constant+Day229,cool_day64,0.12599978,0.457084307,1.340423187,61.64844806,,0.021709621,,4.368730737,0.000169333
constant+Day230,cool_day65,0.124988147,0.45341445,1.329661143,69.12463345,,0.021709603,,4.341695426,0.000164974
constant+Day231,cool_day66,0.124531286,0.451757113,1.324800919,70.93648868,,0.021709198,,4.355865856,0.000168939
constant+Day232,cool_day67,0.126427078,0.458634402,1.34496892,72.78552278,,0.021708809,,4.387479027,0.000180292
constant+Day233,cool_day68,0.12974146,0.470657849,1.380228296,82.99984105,,0.021707656,,4.471689575,0.000176045
constant+Day234,cool_day69,0.132763954,0.48162243,1.412382491,98.73989913,,0.02170477,,4.662606131,0.000170842
constant+Day235,cool_day70,0.134518176,0.487986149,1.431044425,108.9394093,,0.021695611,,4.735432004,0.000177733
constant+Day236,cool_day71,0.137086058,0.49730155,1.458362316,104.1793897,,0.021674097,,4.823829348,0.00017567
constant+Day237,cool_day72,0.13494076,0.489519141,1.435540002,105.0860351,,0.02162616,,4.699724696,0.000170531
constant+Day238,cool_day73,0.12972879,0.470611887,1.380093509,97.60721253,,0.021511137,,4.662779062,0.000167206
constant+Day239,cool_day74,0.122224304,0.443388166,1.30025855,77.88084935,,0.021161533,,4.346376554,0.000176637
constant+Day240,cool_day75,0.119880896,0.434887079,1.275328676,73.15688293,,0.020666722,,4.251649157,0.000179442
constant+Day241,cool_day76,0.117513152,0.426297712,1.250139918,75.63791712,,0.019171578,,4.056845944,0.000179975
constant+Day242,cool_day77,0.119901831,0.434963024,1.27555139,89.95254388,,0.019146918,,4.025850918,0.000179069
constant+Day243,cool_day78,0.121501638,0.440766581,1.29257062,94.26919806,,0.019076922,,4.1289232,0.000178975
constant+Day244,cool_day79,0.121617954,0.441188534,1.293808016,99.8729936,,0.018848299,,4.053390768,0.00017175
constant+Day245,cool_day80,0.120778497,0.438143271,1.284877627,95.16590441,,0.018323152,,3.98609921,0.000176804
constant+Day246,cool_day81,0.115950215,0.420627909,1.23351293,90.63892764,,0.016795332,,3.91042615,0.000168055
constant+Day247,cool_day82,0.113270613,0.410907225,1.205006525,77.21718791,,0.013196216,,3.682381472,0.000169164
constant+Day248,cool_day83,0.108628579,0.394067506,1.155623184,61.82092179,,0.01285928,,3.589160548,0.000165261
constant+Day249,cool_day84,0.103053516,0.373843075,1.096314002,62.84178227,,0.012855846,,3.441724746,0.000162524
constant+Day250,cool_day85,0.099330799,0.360338323,1.056710623,50.58346161,,0.012847371,,3.272631063,0.00016133
constant+Day251,cool_day86,0.102018316,0.370087722,1.085301239,65.90546823,,0.012817581,,3.31569055,0.000170358
constant+Day252,cool_day87,0.107270027,0.389139141,1.141170503,80.3430677,,0.012788357,,3.309092696,0.000161982
constant+Day253,cool_day88,0.109200137,0.396140923,1.161703587,77.38332031,,0.012685717,,3.252836489,0.000166841
constant+Day254,cool_day89,0.104594785,0.379434272,1.112710474,76.63749036,,0.012583452,,3.077463951,0.000164477
constant+Day255,cool_day90,0.096396119,0.349692303,1.025490625,74.93980816,,0.012004835,,2.809852261,0.000165478
constant+Day256,cool_day91,0.086187065,0.312657331,0.91688367,62.34167297,,0.010555342,,2.433377962,0.00017148
constant+Day257,cool_day92,0.078179986,0.283610374,0.831701976,58.14695877,,0.010549053,,2.09519507,0.000172476
constant+Day258,cool_day93,0.071815012,0.260520417,0.763989494,48.59438761,,0.010520936,,1.856009617,0.000199195
constant+Day46,other_day1,0.086160625,0.312561417,0.916602395,272.3069789,,0.028170082,,7.500341457,7.93E-05
constant+Day47,other_day2,0.084689168,0.307223471,0.900948594,272.3104817,,0.028170083,,7.53288711,0.000182048
constant+Day48,other_day3,0.086117392,0.312404582,0.916142469,272.319252,,0.028170086,,7.620337753,0.000176811
constant+Day49,other_day4,0.090077809,0.326771627,0.958274567,272.321493,,0.028170133,,7.724441462,0.000192071
constant+Day50,other_day5,0.094875338,0.344175428,1.009312106,272.3129566,,0.028170056,,7.774930066,0.000177661
constant+Day51,other_day6,0.098018639,0.355578256,1.042751482,272.3003282,,0.028170005,,7.806297183,0.000170622
constant+Day52,other_day7,0.097154377,0.352443007,1.033557206,272.2277137,,0.028169283,,7.78108337,0.000161604
constant+Day53,other_day8,0.093340355,0.338607031,0.992982497,165.0677004,,0.025334197,,7.649095019,0.000161981
constant+Day54,other_day9,0.090024374,0.326577783,0.957706109,10.66619894,,0.023327968,,7.540934433,0.000165823
constant+Day55,other_day10,0.089354459,0.32414756,0.950579355,0,,0.023331092,,7.498826428,0.000167055
constant+Day56,other_day11,0.090503133,0.328314556,0.962799283,0,,0.02333501,,7.538807455,0.000163593
constant+Day57,other_day12,0.092585528,0.335868777,0.984952426,0,,0.024475513,,7.576459325,0.000167006
constant+Day58,other_day13,0.090621285,0.328743173,0.964056226,0,,0.024475373,,7.55633653,0.000167747
constant+Day59,other_day14,0.087730027,0.318254674,0.933298163,0,,0.024475157,,7.55836049,0.000170518
constant+Day60,other_day15,0.085839975,0.311398208,0.913191225,0,,0.02447504,,7.519692041,0.000162373
constant+Day61,other_day16,0.083012746,0.301141985,0.883114324,0,,0.024475349,,7.678039211,0.000155589
constant+Day62,other_day17,0.078811053,0.285899671,0.838415459,0,,0.024475139,,7.40159831,0.000161632
constant+Day63,other_day18,0.072512619,0.263051098,0.771410844,0,,0.024475248,,6.91064694,0.000159091
constant+Day64,other_day19,0.066123477,0.239873464,0.703441243,0,,0.02447555,,6.842301349,0.000157922
constant+Day65,other_day20,0.058798951,0.213302578,0.625520756,0,,0.024475155,,6.607017777,0.000159219
constant+Day66,other_day21,0.054514395,0.197759668,0.579940374,0,,0.024475381,,6.462763942,0.000156793
constant+Day67,other_day22,0.050384675,0.182778448,0.536007179,0,,0.024475345,,6.63449298,0.000159963
constant+Day68,other_day23,0.046189418,0.167559486,0.491376792,0,,0.024475064,,6.32607475,0.000162573
constant+Day69,other_day24,0.040818671,0.148076243,0.43424118,0,,0.024474832,,6.22262719,0.000161294
constant+Day70,other_day25,0.035938906,0.130374118,0.382328791,0,,0.024474992,,6.499681518,0.000156928
constant+Day71,other_day26,0.028266536,0.102541368,0.300707825,0,,0.020347234,,6.131350336,0.000160796
constant+Day72,other_day27,0.022426809,0.081356827,0.23858307,0,,0.016084499,,5.748602015,0.000159163
constant+Day73,other_day28,0.017293028,0.06273322,0.183968386,0,,0.016087773,,5.418220998,0.000157708
constant+Day74,other_day29,0.014352454,0.052065817,0.152685681,0,,0.008148161,,5.126056406,0.000156934
constant+Day75,other_day30,0.013329083,0.048353376,0.141798756,0,,0.008154123,,4.580242615,0.000159956
constant+Day76,other_day31,0.013543241,0.049130267,0.14407703,0,,0.008148496,,4.726050423,0.000162082
constant+Day77,other_day32,0.016548795,0.060033394,0.176051007,0,,0.009412273,,5.155682563,0.000160438
constant+Day78,other_day33,0.018977753,0.068844827,0.20189099,0,,0.014567807,,5.143633674,0.000159878
constant+Day79,other_day34,0.019788028,0.071784228,0.210510933,0,,0.014572333,,5.007610681,0.000158895
constant+Day80,other_day35,0.017836311,0.064704064,0.189747989,0,,0.014573326,,4.60081893,0.000159232
constant+Day81,other_day36,0.021829642,0.079190511,0.232230237,0,,0.014856979,,4.868878586,0.000158296
constant+Day82,other_day37,0.023945292,0.086865368,0.25473715,0,,0.01486487,,4.992087661,0.000156222
constant+Day83,other_day38,0.026996133,0.097932782,0.287192908,0,,0.014936134,,4.980055509,0.000161633
constant+Day85,other_day40,0.033078937,0.119999121,0.35190358,0,,0.016463945,,5.173616562,0.000160259
constant+Day86,other_day41,0.037863418,0.137355591,0.402802321,0,,0.018085525,,5.380131932,0.000162312
constant+Day87,other_day42,0.042961023,0.155847967,0.457032162,0,,0.018364387,,5.682600602,0.000162217
constant+Day88,other_day43,0.049871515,0.180916881,0.530548037,0,,0.018366538,,6.039861735,0.000161117
constant+Day89,other_day44,0.052686873,0.19113004,0.560498651,0,,0.018366678,,6.228636092,0.000164066
constant+Day90,other_day45,0.054026235,0.195988788,0.574747178,0,,0.018366941,,6.0219631,0.00015407
constant+Day91,other_day46,0.053833075,0.195288069,0.572692284,0,,0.018368755,,6.03321187,0.000160919
constant+Day92,other_day47,0.05386324,0.195397499,0.573013192,0,,0.018369255,,6.079313361,0.000161246
constant+Day93,other_day48,0.054336157,0.197113081,0.578044225,0,,0.018369732,,6.378723717,0.000157419
constant+Day94,other_day49,0.056529537,0.205069917,0.601378055,130.4554682,,0.018369907,,6.324847463,0.000167334
constant+Day95,other_day50,0.056700433,0.205689868,0.603196093,130.4553459,,0.01837036,,6.02809112,0.000166812
constant+Day96,other_day51,0.054170889,0.196513543,0.576286051,130.4551056,,0.01837134,,5.578332609,0.000162983
constant+Day97,other_day52,0.052990858,0.192232795,0.563732537,134.0595941,,0.018389167,,5.061001894,0.000165069
constant+Day98,other_day53,0.05693238,0.206531293,0.605663615,134.0608737,,0.018401742,,4.698501867,0.000163866
