Scenario,test_day,cost_tot,emis_tot,ener_tot,idis_tot,pdih_tot,pele_tot,pgas_tot,tdis_tot,time_rat
constant+Day338,heat_day73,0.373308001,0.579812958,4.688504829,2662.050234,0.093875106,0.005560873,,5.789120286,7.11E-05
constant+Day339,heat_day74,0.38431881,0.593679744,4.816298436,2219.612467,0.093874447,0.005560854,,6.033060306,0.011796051
constant+Day340,heat_day75,0.393769203,0.607052018,4.930752699,2110.412879,0.09387312,0.005560854,,6.120382407,7.30E-05
constant+Day341,heat_day76,0.397050508,0.61166466,4.970394173,2110.423455,0.09387076,0.005560854,,6.749927705,7.08E-05
constant+Day342,heat_day77,0.395436466,0.609395798,4.95089509,2110.417348,0.093868222,0.005560854,,7.191710555,7.18E-05
constant+Day343,heat_day78,0.383902406,0.590725216,4.80358165,1732.38143,0.093862339,0.005560854,,7.171713363,7.23E-05
constant+Day344,heat_day79,0.380521538,0.584302965,4.757320584,1432.172044,0.093853884,0.005560854,,7.170768511,7.51E-05
constant+Day345,heat_day80,0.371656055,0.566756905,4.633724272,1199.725142,0.093848537,0.005560854,,7.921918257,7.46E-05
constant+Day346,heat_day81,0.364481401,0.551988033,4.531853655,645.4636849,0.093835405,0.005560852,,8.342175043,7.51E-05
constant+Day347,heat_day82,0.35587056,0.53472434,4.411088438,417.9620642,0.093810857,0.005560852,,8.789293788,7.50E-05
constant+Day348,heat_day83,0.356551367,0.53571811,4.419432457,417.9587714,0.093759476,0.005560852,,9.124406467,7.38E-05
constant+Day349,heat_day84,0.355532074,0.534285397,4.407118829,417.9568117,0.093616373,0.005560852,,9.540198121,7.25E-05
constant+Day350,heat_day85,0.336765467,0.502566294,4.163080656,257.616165,0.093263133,0.005560849,,9.568073346,6.98E-05
constant+Day351,heat_day86,0.314904459,0.466899949,3.882965343,202.0563515,0.092850445,0.005560849,,9.510766036,7.37E-05
constant+Day352,heat_day87,0.290650709,0.427643741,3.573209098,57.48723655,0.091411056,0.005560848,,10.11726747,7.36E-05
constant+Day353,heat_day88,0.273096471,0.399253407,3.349087866,56.90657012,0.09141045,0.005560848,,10.6064556,7.53E-05
constant+Day354,heat_day89,0.257265054,0.372421814,3.14297997,49.75934427,0.091409632,0.005560848,,11.25736554,7.74E-05
